src	tgt
hnga dak liem ngui-ne-ma	H'Nga đã không làm dòng sông đẹp
kon brah poh hlao-ne	đứa trẻ đã tìm năm khu rừng
miu kata-tao ntik gu-ma	con mèo không bắt những con gà nhỏ
dak plei poh ntik nhu-ne	dòng sông đã uống năm bản làng nhỏ
rong pa nhu	cái nhà uống người cha
hling kon liem gu	H'Linh bắt đứa trẻ đẹp
padi ako cha-ne	cây lúa đã ăn con chó
yson mi gu	Y Sơn bắt người mẹ
hnga rong liem tec-ma	H'Nga không bán cái nhà đẹp
hrin dak liem hlao-ne-ma	H'Rin đã không tìm dòng sông đẹp
ybhok padi-tao gu	Y Bhôk bắt những cây lúa
hnga kata bar om-ne	H'Nga đã nấu hai con gà
hrin hina ntik ngui-ma	H'Rin không làm con cá nhỏ
miu brah ngui	con mèo làm khu rừng
padi kon om-ne	cây lúa đã nấu đứa trẻ
ybhok ako ngui	Y Bhôk làm con chó
ykrong pa tec-ne-ma	Y Krông đã không bán người cha
miu brah-tao hlao-ne-ma	con mèo đã không tìm những khu rừng
pa kon-tao ngui	người cha làm những đứa trẻ
hrin krao puon tec-ne	H'Rin đã bán bốn con trâu
bok krao pei liem hmang-ne	người thầy đã thấy ba con trâu đẹp
ybhok bok liem cha-ne-ma	Y Bhôk đã không ăn người thầy đẹp
padi pang prong ei	cây lúa cho cái nồi to
hling padi bar hmang-ne	H'Linh đã thấy hai cây lúa
hnga miu ei-ne	H'Nga đã cho con mèo
kon pang poh tuk	đứa trẻ mang năm cái nồi
miu pa pei cha	con mèo ăn ba người cha
rong brah puon liem hmang	cái nhà thấy bốn khu rừng đẹp
mi bok pei prong ngui	người mẹ làm ba người thầy to
bok kata dua tec	người thầy bán một con gà
pang brah tuk-ne	cái nồi đã mang khu rừng
krao krao-tao krah om-ne	con trâu đã nấu những con trâu cũ
kon krao dua hmang-ne-ma	đứa trẻ đã không thấy một con trâu
hling pa ntik cha	H'Linh ăn người cha nhỏ
pang ako-tao ntik nhu	cái nồi uống những con chó nhỏ
hina miu dua liem hlao-ma	con cá không tìm một con mèo đẹp
ybhok kon gu	Y Bhôk bắt đứa trẻ
yson pang puon cha	Y Sơn ăn bốn cái nồi
rong bnam bar krah tec	cái nhà bán hai ngọn núi cũ
hnga rong dua cha	H'Nga ăn một cái nhà
hnga padi puon tuk	H'Nga mang bốn cây lúa
ybhok bnam poh tec	Y Bhôk bán năm ngọn núi
hrin pa liem ngui-ne-ma	H'Rin đã không làm người cha đẹp
brah brah gu	khu rừng bắt khu rừng
yson miu pei prong hmang-ne	Y Sơn đã thấy ba con mèo to
ako bnam bar om-ne	con chó đã nấu hai ngọn núi
hling miu poh mahe hlao	H'Linh tìm năm con mèo mới
bok rong tuk-ne	người thầy đã mang cái nhà
hnga padi dua nhu	H'Nga uống một cây lúa
krao ako liem hmang-ne-ma	con trâu đã không thấy con chó đẹp
hling ako poh om	H'Linh nấu năm con chó
pa pang pei gu	người cha bắt ba cái nồi
bok ako hlao-ma	người thầy không tìm con chó
hrin dak mahe tuk	H'Rin mang dòng sông mới
padi hina-tao hlao-ne	cây lúa đã tìm những con cá
kon miu om-ne	đứa trẻ đã nấu con mèo
ykrong dak prong nhu-ne	Y Krông đã uống dòng sông to
hling miu mahe om-ne	H'Linh đã nấu con mèo mới
ybhok hina hmang	Y Bhôk thấy con cá
hina krao-tao prong om	con cá nấu những con trâu to
brah brah-tao nhu-ma	khu rừng không uống những khu rừng
rong rong-tao liem cha	cái nhà ăn những cái nhà đẹp
pang dak tec-ne	cái nồi đã bán dòng sông
yson miu bar krah cha	Y Sơn ăn hai con mèo cũ
ako rong puon nhu	con chó uống bốn cái nhà
ybhok kon cha-ma	Y Bhôk không ăn đứa trẻ
rong miu hmang-ne	cái nhà đã thấy con mèo
pang dak prong ei-ne-ma	cái nồi đã không cho dòng sông to
krao mi prong tec	con trâu bán người mẹ to
pa padi puon cha-ne-ma	người cha đã không ăn bốn cây lúa
miu hina ei-ne	con mèo đã cho con cá
padi krao-tao prong om-ne	cây lúa đã nấu những con trâu to
hnga hina-tao krah hlao-ne	H'Nga đã tìm những con cá cũ
pang pa-tao ntik tuk-ne-ma	cái nồi đã không mang những người cha nhỏ
kon krao prong tec-ma	đứa trẻ không bán con trâu to
yson krao tuk-ne	Y Sơn đã mang con trâu
ykrong ako-tao prong nhu	Y Krông uống những con chó to
dak kata pei ngui	dòng sông làm ba con gà
ybhok kon-tao tec-ma	Y Bhôk không bán những đứa trẻ
hnga bnam prong cha-ne	H'Nga đã ăn ngọn núi to
plei kata prong cha-ne-ma	bản làng đã không ăn con gà to
miu dak bar tec-ne	con mèo đã bán hai dòng sông
miu kon prong gu-ne	con mèo đã bắt đứa trẻ to
ykrong plei nhu	Y Krông uống bản làng
kon padi tec-ne	đứa trẻ đã bán cây lúa
plei brah tuk	bản làng mang khu rừng
mi pa tec-ne-ma	người mẹ đã không bán người cha
hina brah pei tec	con cá bán ba khu rừng
krao kata prong gu-ne	con trâu đã bắt con gà to
ybhok hina bar hlao-ne-ma	Y Bhôk đã không tìm hai con cá
ako pa tec-ne	con chó đã bán người cha
kon kata-tao liem tuk	đứa trẻ mang những con gà đẹp
hling pa hlao-ma	H'Linh không tìm người cha
ybhok bok bar krah hmang	Y Bhôk thấy hai người thầy cũ
bok ako-tao prong gu	người thầy bắt những con chó to
ybhok mi prong om	Y Bhôk nấu người mẹ to
hina brah om-ne-ma	con cá đã không nấu khu rừng
brah kata ntik tec-ne	khu rừng đã bán con gà nhỏ
ybhok miu ei	Y Bhôk cho con mèo
ako mi-tao gu	con chó bắt những người mẹ
pang mi dua ntik gu	cái nồi bắt một người mẹ nhỏ
pa hina puon prong hlao-ne	người cha đã tìm bốn con cá to
bnam kata liem cha	ngọn núi ăn con gà đẹp
ybhok pa om	Y Bhôk nấu người cha
bnam ako om-ne	ngọn núi đã nấu con chó
mi bok cha-ne	người mẹ đã ăn người thầy
rong plei prong cha-ne	cái nhà đã ăn bản làng to
hling kata poh om	H'Linh nấu năm con gà
rong kon prong nhu-ma	cái nhà không uống đứa trẻ to
hnga bok ngui-ne	H'Nga đã làm người thầy
yson kata prong nhu	Y Sơn uống con gà to
dak plei gu-ne	dòng sông đã bắt bản làng
pang padi ntik cha-ne	cái nồi đã ăn cây lúa nhỏ
hling dak om	H'Linh nấu dòng sông
bok dak tuk-ne	người thầy đã mang dòng sông
yson miu pei ei-ne	Y Sơn đã cho ba con mèo
hling plei ngui	H'Linh làm bản làng
padi hina tuk-ne	cây lúa đã mang con cá
dak padi tuk-ne-ma	dòng sông đã không mang cây lúa
yson mi tec	Y Sơn bán người mẹ
kata pa hlao-ne	con gà đã tìm người cha
ybhok kata tuk-ne	Y Bhôk đã mang con gà
padi ako-tao gu-ne	cây lúa đã bắt những con chó
hina pang krah ngui	con cá làm cái nồi cũ
padi pang tec-ne	cây lúa đã bán cái nồi
dak miu-tao hlao	dòng sông tìm những con mèo
yson padi ntik ngui	Y Sơn làm cây lúa nhỏ
miu dak-tao mahe gu-ne-ma	con mèo đã không bắt những dòng sông mới
dak hina-tao liem nhu-ne	dòng sông đã uống những con cá đẹp
plei ako prong nhu-ne	bản làng đã uống con chó to
yson dak hmang	Y Sơn thấy dòng sông
hling mi liem ngui-ne	H'Linh đã làm người mẹ đẹp
krao pa om-ne	con trâu đã nấu người cha
pa brah ntik tec-ne-ma	người cha đã không bán khu rừng nhỏ
hling hina dua tuk	H'Linh mang một con cá
hrin brah cha-ne-ma	H'Rin đã không ăn khu rừng
ybhok bnam ngui-ne	Y Bhôk đã làm ngọn núi
kon kon om	đứa trẻ nấu đứa trẻ
rong bnam hlao-ma	cái nhà không tìm ngọn núi
ybhok brah puon mahe hlao-ma	Y Bhôk không tìm bốn khu rừng mới
padi padi cha	cây lúa ăn cây lúa
krao rong prong tuk	con trâu mang cái nhà to
miu padi-tao ei-ne	con mèo đã cho những cây lúa
ako hina cha-ne	con chó đã ăn con cá
ykrong pa poh tuk-ma	Y Krông không mang năm người cha
hnga hina prong cha	H'Nga ăn con cá to
ykrong mi ngui-ne	Y Krông đã làm người mẹ
mi bok pei nhu-ne-ma	người mẹ đã không uống ba người thầy
pang ako mahe cha	cái nồi ăn con chó mới
bnam bok-tao nhu-ne	ngọn núi đã uống những người thầy
pa miu nhu-ma	người cha không uống con mèo
ybhok bok ei	Y Bhôk cho người thầy
plei pa ngui-ne	bản làng đã làm người cha
hrin bnam hmang	H'Rin thấy ngọn núi
kata miu poh cha	con gà ăn năm con mèo
hina mi-tao om-ne	con cá đã nấu những người mẹ
dak miu poh cha-ne	dòng sông đã ăn năm con mèo
pang mi ei	cái nồi cho người mẹ
miu bnam ngui	con mèo làm ngọn núi
hling kon ei-ne	H'Linh đã cho đứa trẻ
kata hina puon hlao-ne	con gà đã tìm bốn con cá
krao pang-tao prong om	con trâu nấu những cái nồi to
hnga dak-tao tuk	H'Nga mang những dòng sông
mi brah om-ne	người mẹ đã nấu khu rừng
hnga krao-tao tuk	H'Nga mang những con trâu
hling hina-tao nhu-ne	H'Linh đã uống những con cá
hling ako gu-ma	H'Linh không bắt con chó
bok bnam-tao om	người thầy nấu những ngọn núi
ykrong bnam tec-ne	Y Krông đã bán ngọn núi
hnga ako-tao gu-ne	H'Nga đã bắt những con chó
hling rong-tao prong ei	H'Linh cho những cái nhà to
rong plei cha-ne	cái nhà đã ăn bản làng
dak brah-tao hlao	dòng sông tìm những khu rừng
ybhok bok nhu-ma	Y Bhôk không uống người thầy
bok hina cha-ne-ma	người thầy đã không ăn con cá
rong pang puon om	cái nhà nấu bốn cái nồi
pang mi bar ngui-ne	cái nồi đã làm hai người mẹ
ybhok mi hlao	Y Bhôk tìm người mẹ
bok hina cha-ma	người thầy không ăn con cá
bok ako poh om-ma	người thầy không nấu năm con chó
kon dak ngui-ma	đứa trẻ không làm dòng sông
hling brah pei ntik nhu	H'Linh uống ba khu rừng nhỏ
brah pa-tao hmang	khu rừng thấy những người cha
dak plei liem tuk	dòng sông mang bản làng đẹp
ako brah-tao ngui-ne-ma	con chó đã không làm những khu rừng
yson hina gu-ne	Y Sơn đã bắt con cá
plei pang pei krah ei	bản làng cho ba cái nồi cũ
padi bnam poh liem gu	cây lúa bắt năm ngọn núi đẹp
hina pa cha-ne	con cá đã ăn người cha
rong kata ei-ne	cái nhà đã cho con gà
ybhok bnam bar gu-ne	Y Bhôk đã bắt hai ngọn núi
hling miu cha-ne	H'Linh đã ăn con mèo
miu mi-tao gu-ma	con mèo không bắt những người mẹ
ykrong pa om	Y Krông nấu người cha
mi bok om	người mẹ nấu người thầy
brah pa bar ngui-ne	khu rừng đã làm hai người cha
hina miu ngui-ne	con cá đã làm con mèo
miu miu tuk-ne-ma	con mèo đã không mang con mèo
kon miu pei om-ne	đứa trẻ đã nấu ba con mèo
yson padi liem cha	Y Sơn ăn cây lúa đẹp
hina miu prong ei-ne	con cá đã cho con mèo to
dak brah mahe gu-ne	dòng sông đã bắt khu rừng mới
kata pa bar gu-ne	con gà đã bắt hai người cha
bnam rong-tao krah cha-ne	ngọn núi đã ăn những cái nhà cũ
miu ako-tao ngui	con mèo làm những con chó
bok krao-tao nhu	người thầy uống những con trâu
ykrong kon liem ngui	Y Krông làm đứa trẻ đẹp
ykrong kata ei	Y Krông cho con gà
kon miu prong hmang-ne	đứa trẻ đã thấy con mèo to
brah plei hmang	khu rừng thấy bản làng
kata padi tec	con gà bán cây lúa
hina rong om-ma	con cá không nấu cái nhà
ykrong brah nhu-ne	Y Krông đã uống khu rừng
ykrong padi krah hmang-ne	Y Krông đã thấy cây lúa cũ
ako kata tec-ne	con chó đã bán con gà
krao plei ei	con trâu cho bản làng
pa miu tec	người cha bán con mèo
ybhok ako cha-ne	Y Bhôk đã ăn con chó
miu ako-tao tec	con mèo bán những con chó
brah ako hlao-ne	khu rừng đã tìm con chó
bok miu ngui	người thầy làm con mèo
ykrong pang-tao cha	Y Krông ăn những cái nồi
pang bnam-tao om	cái nồi nấu những ngọn núi
miu plei ngui-ma	con mèo không làm bản làng
hling pa dua hmang	H'Linh thấy một người cha
pa kon-tao mahe ngui-ne	người cha đã làm những đứa trẻ mới
ako brah ngui-ne	con chó đã làm khu rừng
padi pang-tao hmang	cây lúa thấy những cái nồi
hina bnam-tao krah hlao-ma	con cá không tìm những ngọn núi cũ
plei miu ntik gu	bản làng bắt con mèo nhỏ
ykrong pang-tao om-ne	Y Krông đã nấu những cái nồi
hina dak-tao ei-ma	con cá không cho những dòng sông
ykrong bnam puon tuk-ne	Y Krông đã mang bốn ngọn núi
pang plei-tao gu	cái nồi bắt những bản làng
kon mi-tao prong tuk	đứa trẻ mang những người mẹ to
brah kata nhu	khu rừng uống con gà
hling bok hmang-ma	H'Linh không thấy người thầy
ykrong miu liem ngui	Y Krông làm con mèo đẹp
hling bnam mahe gu	H'Linh bắt ngọn núi mới
pang bok om	cái nồi nấu người thầy
miu bnam-tao ngui	con mèo làm những ngọn núi
pang krao cha-ne	cái nồi đã ăn con trâu
brah krao poh hlao	khu rừng tìm năm con trâu
yson rong poh hmang-ne	Y Sơn đã thấy năm cái nhà
yson miu-tao hmang-ne	Y Sơn đã thấy những con mèo
pa brah pei om-ne	người cha đã nấu ba khu rừng
kata padi hmang	con gà thấy cây lúa
kon mi-tao tuk	đứa trẻ mang những người mẹ
hina plei puon gu-ne	con cá đã bắt bốn bản làng
bnam krao liem tec	ngọn núi bán con trâu đẹp
hina dak ntik ngui-ne-ma	con cá đã không làm dòng sông nhỏ
mi miu pei prong nhu	người mẹ uống ba con mèo to
kon hina-tao liem om-ne	đứa trẻ đã nấu những con cá đẹp
brah pang prong gu-ne-ma	khu rừng đã không bắt cái nồi to
hling kata-tao nhu	H'Linh uống những con gà
rong ako tuk-ne	cái nhà đã mang con chó
ybhok pa pei mahe hmang-ma	Y Bhôk không thấy ba người cha mới
bnam dak-tao nhu	ngọn núi uống những dòng sông
bnam bok puon ngui	ngọn núi làm bốn người thầy
hling rong-tao om	H'Linh nấu những cái nhà
kata brah-tao hmang-ne	con gà đã thấy những khu rừng
bok rong pei krah ngui	người thầy làm ba cái nhà cũ
bok hina ngui-ne	người thầy đã làm con cá
hling pang-tao mahe cha	H'Linh ăn những cái nồi mới
bnam hina-tao hlao-ne	ngọn núi đã tìm những con cá
pang hina-tao krah ngui	cái nồi làm những con cá cũ
hrin rong prong tec	H'Rin bán cái nhà to
rong mi prong gu	cái nhà bắt người mẹ to
plei kata hmang-ma	bản làng không thấy con gà
padi kata ntik ngui	cây lúa làm con gà nhỏ
bnam padi liem gu	ngọn núi bắt cây lúa đẹp
yson hina cha-ma	Y Sơn không ăn con cá
rong plei-tao prong tec-ne	cái nhà đã bán những bản làng to
hrin bnam-tao prong om	H'Rin nấu những ngọn núi to
hnga padi puon hmang-ne	H'Nga đã thấy bốn cây lúa
brah miu-tao mahe cha	khu rừng ăn những con mèo mới
hrin kata liem ei	H'Rin cho con gà đẹp
yson plei tec	Y Sơn bán bản làng
miu bok cha	con mèo ăn người thầy
pang kon nhu-ne	cái nồi đã uống đứa trẻ
plei miu dua liem hlao	bản làng tìm một con mèo đẹp
miu bok liem om-ne-ma	con mèo đã không nấu người thầy đẹp
hling brah liem gu	H'Linh bắt khu rừng đẹp
pa padi hmang	người cha thấy cây lúa
ykrong dak poh liem cha	Y Krông ăn năm dòng sông đẹp
hrin kon tuk	H'Rin mang đứa trẻ
pa bnam-tao ngui	người cha làm những ngọn núi
kon dak hlao	đứa trẻ tìm dòng sông
ybhok plei ntik ngui-ma	Y Bhôk không làm bản làng nhỏ
padi kon dua cha	cây lúa ăn một đứa trẻ
krao hina nhu	con trâu uống con cá
ybhok krao hlao	Y Bhôk tìm con trâu
rong dak ngui-ne	cái nhà đã làm dòng sông
rong hina poh krah ngui-ne	cái nhà đã làm năm con cá cũ
ybhok kata gu-ne	Y Bhôk đã bắt con gà
pang padi gu-ne	cái nồi đã bắt cây lúa
ako ako-tao tuk	con chó mang những con chó
yson rong tuk	Y Sơn mang cái nhà
hrin kata hlao	H'Rin tìm con gà
dak hina ei	dòng sông cho con cá
hnga bok nhu-ne	H'Nga đã uống người thầy
krao ako hlao-ne	con trâu đã tìm con chó
ako pa-tao prong om-ne	con chó đã nấu những người cha to
pa dak-tao hlao	người cha tìm những dòng sông
krao krao liem tuk	con trâu mang con trâu đẹp
ako plei krah om-ne	con chó đã nấu bản làng cũ
hrin mi liem tec	H'Rin bán người mẹ đẹp
ybhok dak liem cha-ma	Y Bhôk không ăn dòng sông đẹp
padi plei tuk	cây lúa mang bản làng
miu kon-tao liem hlao-ne	con mèo đã tìm những đứa trẻ đẹp
brah kon-tao hlao-ma	khu rừng không tìm những đứa trẻ
hling pang ntik hlao-ne	H'Linh đã tìm cái nồi nhỏ
brah padi-tao hmang	khu rừng thấy những cây lúa
ako plei ei	con chó cho bản làng
ykrong kon bar krah gu-ne	Y Krông đã bắt hai đứa trẻ cũ
hnga dak dua mahe tec-ma	H'Nga không bán một dòng sông mới
dak pa-tao tuk	dòng sông mang những người cha
hling plei pei mahe ei-ma	H'Linh không cho ba bản làng mới
hina rong cha-ne	con cá đã ăn cái nhà
pa kon cha-ne	người cha đã ăn đứa trẻ
hling kata-tao gu	H'Linh bắt những con gà
yson kon hlao-ma	Y Sơn không tìm đứa trẻ
krao padi prong tec	con trâu bán cây lúa to
ykrong ako tec	Y Krông bán con chó
ykrong pa bar liem om-ne-ma	Y Krông đã không nấu hai người cha đẹp
mi dak hmang-ne-ma	người mẹ đã không thấy dòng sông
ykrong krao-tao ngui	Y Krông làm những con trâu
plei pang bar tuk-ne	bản làng đã mang hai cái nồi
miu plei-tao om-ma	con mèo không nấu những bản làng
plei hina-tao tec	bản làng bán những con cá
rong padi nhu-ne	cái nhà đã uống cây lúa
yson krao tec	Y Sơn bán con trâu
miu plei-tao tuk	con mèo mang những bản làng
kon rong krah tec-ne	đứa trẻ đã bán cái nhà cũ
